name,price_per_kg,volume,weight,item_type,shop_name
Smartphone,299.99,0.2,0.15,fragile,ElectronicsRUs
Laptop,799.99,0.5,2.0,solid,Tech Haven
Coffee Maker,49.99,0.3,2.5,solid,Kitchen Essentials
Glass Vase,29.99,0.1,0.5,fragile,Home Decor Plus
Toaster,34.99,0.2,1.0,solid,Kitchenware Hub
Television,599.99,0.8,8.0,solid,ElectronicsRUs
Porcelain Plate,14.99,0.05,0.2,fragile,Home Decor Plus
Desk Chair,74.99,0.3,4.0,solid,Furniture Emporium
Ceramic Mug,7.99,0.01,0.2,fragile,Kitchenware Hub
Washing Machine,299.99,1.0,50.0,solid,Appliance Central
Wall Clock,19.99,0.02,0.5,fragile,Home Decor Plus
Refrigerator,499.99,1.5,70.0,solid,Appliance Central
Crystal Vase,39.99,0.1,0.4,fragile,Home Decor Plus
Coffee Table,49.99,0.4,10.0,solid,Furniture Emporium
Ceramic Plate,11.99,0.05,0.3,fragile,Kitchenware Hub
Microwave,79.99,0.2,12.0,solid,Appliance Central
Glass Tumbler,3.99,0.02,0.2,fragile,Kitchenware Hub
Computer Monitor,129.99,0.05,7.0,solid,Tech Haven
Porcelain Teapot,19.99,0.05,0.6,fragile,Kitchenware Hub
Bookshelf,59.99,0.3,15.0,solid,Furniture Emporium
Glass Bowl,8.99,0.01,0.3,fragile,Kitchenware Hub
DVD Player,39.99,0.02,2.0,solid,ElectronicsRUs
Porcelain Figurine,9.99,0.02,0.1,fragile,Home Decor Plus
Sofa,199.99,1.0,30.0,solid,Furniture Emporium
Smartphone,299.99,0.2,0.15,fragile,ElectronicsRUs
Laptop,799.99,0.5,2.0,solid,Tech Haven
Coffee Maker,49.99,0.3,2.5,solid,Kitchen Essentials
Glass Vase,29.99,0.1,0.5,fragile,Home Decor Plus
Toaster,34.99,0.2,1.0,solid,Kitchenware Hub
Television,599.99,0.8,8.0,solid,ElectronicsRUs
Porcelain Plate,14.99,0.05,0.2,fragile,Home Decor Plus
Desk Chair,74.99,0.3,4.0,solid,Furniture Emporium
Ceramic Mug,7.99,0.01,0.2,fragile,Kitchenware Hub
Washing Machine,299.99,1.0,50.0,solid,Appliance Central
Wall Clock,19.99,0.02,0.5,fragile,Home Decor Plus
Refrigerator,499.99,1.5,70.0,solid,Appliance Central
Crystal Vase,39.99,0.1,0.4,fragile,Home Decor Plus
Coffee Table,49.99,0.4,10.0,solid,Furniture Emporium
Ceramic Plate,11.99,0.05,0.3,fragile,Kitchenware Hub
Microwave,79.99,0.2,12.0,solid,Appliance Central
Glass Tumbler,3.99,0.02,0.2,fragile,Kitchenware Hub
Computer Monitor,129.99,0.05,7.0,solid,Tech Haven
Porcelain Teapot,19.99,0.05,0.6,fragile,Kitchenware Hub
Bookshelf,59.99,0.3,15.0,solid,Furniture Emporium
Glass Bowl,8.99,0.01,0.3,fragile,Kitchenware Hub
DVD Player,39.99,0.02,2.0,solid,ElectronicsRUs
Porcelain Figurine,9.99,0.02,0.1,fragile,Home Decor Plus
Sofa,199.99,1.0,30.0,solid,Furniture Emporium
